point_status_id,order_id,customer_id,status,del_flg,point_fix_date
1,170,2655,0,0,
2,171,2655,0,0,
3,172,2655,0,0,
4,212,2655,0,0,
5,489,2656,0,0,
6,490,2656,0,0,
7,491,2656,0,0,
8,492,2656,0,0,
9,493,2656,0,0,
10,494,2656,0,0,
11,495,2656,0,0,
12,496,2656,0,0,
13,497,2656,0,0,
14,501,2656,0,0,
16,503,2656,0,0,
17,505,2656,0,0,
18,506,2656,0,0,
19,507,2656,0,0,
20,508,2656,0,0,
21,510,2656,0,0,
22,511,2656,0,0,
23,512,2656,0,0,
24,513,2656,0,0,
25,514,2656,0,0,
26,515,2656,0,0,
27,516,2656,0,0,
28,517,2656,0,0,
29,518,2656,0,0,
30,519,2656,0,0,
31,520,2656,0,0,
32,521,2656,0,0,
33,522,2656,0,0,
34,523,2656,0,0,
35,524,2656,0,0,
36,526,2656,0,0,
37,527,2656,0,0,
38,528,2656,0,0,
39,529,2656,0,0,
40,530,2656,0,0,
41,531,2656,0,0,
42,532,2656,0,0,
43,534,2656,0,0,
44,536,2656,0,0,
45,540,2656,0,0,
46,541,2656,0,0,
47,542,2656,0,0,
49,544,2656,0,0,
50,545,2656,0,0,
51,558,2656,0,0,
52,563,2656,0,0,
53,564,2656,0,0,
54,578,2656,0,0,
55,580,2656,0,0,
56,584,2656,0,0,
57,586,2656,0,0,
58,588,2656,0,0,
59,590,2656,0,0,
60,593,2656,0,0,
61,594,2657,0,0,
62,595,2656,0,0,
63,598,2656,0,0,
64,599,2656,0,0,
65,600,2656,0,0,
66,604,2656,0,0,
67,609,2656,0,0,
68,610,2656,0,0,
69,611,2656,0,0,
70,612,2656,0,0,
71,613,2656,0,0,
72,614,2656,0,0,
73,615,2656,0,0,
74,616,2656,0,0,
75,617,2656,0,0,
76,618,2656,0,0,
77,619,2656,0,0,
78,622,2656,0,0,
79,623,2656,0,0,
80,624,2656,0,0,
81,625,2656,0,0,
82,626,2656,0,0,
83,627,2656,0,0,
84,628,2656,0,0,
85,633,2656,0,0,
86,634,2656,0,0,
87,635,2656,0,0,
88,636,2656,0,0,
89,637,2656,0,0,
90,638,2656,0,0,
91,639,2656,0,0,
92,640,2657,0,0,
93,641,2657,0,0,
94,642,2656,0,0,
95,643,2656,0,0,
96,647,2656,0,0,
97,648,2656,0,0,
98,649,2656,0,0,
99,651,2656,0,0,
100,652,2657,0,0,
101,653,2657,0,0,
102,654,2656,0,0,
103,655,2656,0,0,
104,667,2656,0,0,
105,668,2656,0,0,
106,669,2656,0,0,
107,671,2656,0,0,
108,672,2656,0,0,
149,713,2656,0,0,
150,714,2656,0,0,
151,715,2656,0,0,
154,718,2656,0,0,
155,719,2656,0,0,
156,720,2656,0,0,
157,721,2656,0,0,
158,722,2656,0,0,
159,726,2656,0,0,
160,729,2656,0,0,
161,730,2656,0,0,
174,743,2656,0,0,
175,744,2656,0,0,
176,745,2656,0,0,
177,746,2656,0,0,
178,748,2656,0,0,
179,749,2657,0,0,
180,750,2657,0,0,
181,751,2657,0,0,
182,752,2654,0,0,
183,753,2654,0,0,
184,754,2656,0,0,
185,755,2654,0,0,
186,756,2654,0,0,
187,757,2656,0,0,
188,758,2656,0,0,
189,759,2656,0,0,
192,764,2656,0,0,
193,766,2656,0,0,
194,767,2656,0,0,
195,768,2656,0,0,
196,774,2656,0,0,
197,775,2656,0,0,
198,776,2656,0,0,
199,777,2656,0,0,
200,778,2656,0,0,
201,779,2656,0,0,
202,780,2656,0,0,
203,781,2656,0,0,
204,784,2656,0,0,
205,787,2656,0,0,
206,788,2656,0,0,
207,796,2656,0,0,
208,799,2656,0,0,
209,800,2656,0,0,
210,801,2657,0,0,
211,802,2657,0,0,
212,803,2657,0,0,
213,804,2657,0,0,
214,805,2657,0,0,
215,806,2657,0,0,
216,807,2657,0,0,
217,813,2657,0,0,
218,814,2657,0,0,
219,816,2656,0,0,
220,817,2656,0,0,
221,818,2657,0,0,
222,819,2657,0,0,
223,820,2656,0,0,
224,821,2656,0,0,
225,822,2656,0,0,
226,823,2656,0,0,
227,824,2656,0,0,
228,825,2656,0,0,
229,829,2656,0,0,
230,835,2656,0,0,
231,832,2656,0,0,
232,837,2656,0,0,
233,838,2657,0,0,
234,839,2657,0,0,
235,840,2656,0,0,
236,841,2656,0,0,
237,842,2656,0,0,
238,843,2656,0,0,
239,844,2656,0,0,
241,846,2656,0,0,
242,847,2656,0,0,
243,848,2656,0,0,
244,849,2656,0,0,
245,850,2656,0,0,
246,851,2656,0,0,
247,852,2656,0,0,
248,853,2657,0,0,
249,854,2657,0,0,
250,855,2656,0,0,
251,856,2657,0,0,
252,858,2657,0,0,
253,857,2656,0,0,
254,860,2656,0,0,
255,861,2656,0,0,
256,862,2656,0,0,
257,863,2656,0,0,
258,864,2656,0,0,
259,865,2656,0,0,
260,868,2656,0,0,
261,869,2656,0,0,
262,870,2656,0,0,
263,871,2656,0,0,
264,872,2656,0,0,
265,873,2657,0,0,
266,874,2657,0,0,
267,876,2657,0,0,
268,877,2657,0,0,
269,880,2657,0,0,
270,881,2656,0,0,
271,882,2656,0,0,
272,889,2656,0,0,
273,890,2656,0,0,
274,891,2656,0,0,
275,892,2656,0,0,
276,893,2656,0,0,
277,896,2656,0,0,
278,902,2656,0,0,
279,909,2656,0,0,
280,910,2656,0,0,
281,911,2656,0,0,
282,913,2656,0,0,
283,912,2657,0,0,
284,919,2656,0,0,
285,925,2657,0,0,
286,927,2657,0,0,
287,929,2657,0,0,
288,952,2656,0,0,
289,970,2657,0,0,
290,972,2657,0,0,
291,973,2657,0,0,
292,974,2657,0,0,
293,984,2657,0,0,
294,985,2657,0,0,
295,986,2661,0,0,
296,987,2661,0,0,
297,991,2657,0,0,
298,992,2657,0,0,
299,993,2657,0,0,
300,994,2657,0,0,
301,995,2657,0,0,
302,1012,2662,0,0,
303,1017,2660,0,0,
304,1018,2660,0,0,
305,1020,2660,0,0,
306,1022,2663,0,0,
307,1023,2660,0,0,
308,1024,2660,0,0,
309,1025,2660,0,0,
310,1026,2660,0,0,
311,1041,2656,0,0,
312,1043,2660,0,0,
313,1046,2666,0,0,
314,1048,2667,0,0,
315,1054,2633,0,0,
316,1063,2660,0,0,
317,1064,2656,0,0,
318,1082,78,0,0,
319,1083,78,0,0,
320,1084,2656,0,0,
321,1085,2656,0,0,
322,1088,2656,0,0,
323,1090,2633,0,0,
324,1091,2633,1,0,"2019-05-23 14:12:07"
325,1092,2633,0,0,
326,1097,2633,0,0,
327,1098,2633,0,0,
328,1099,2633,0,0,
329,1100,2633,0,0,
330,1101,2668,0,0,
331,1102,2669,0,0,
332,1106,2669,0,0,
333,1108,2669,0,0,
334,1110,2656,0,0,
335,1111,78,0,0,
336,1117,2633,0,0,
337,1118,2633,0,0,
338,1119,2633,0,0,
339,1121,2669,0,0,
340,1122,2669,0,0,
341,1123,2669,0,0,
342,1124,2633,0,0,
343,1125,2669,0,0,
344,1126,2633,0,0,
345,1127,2633,0,0,
346,1128,2633,0,0,
347,1129,2633,0,0,
348,1130,2633,0,0,
349,1131,2633,0,0,
350,1132,2633,0,0,
351,1133,2669,0,0,
352,1134,2669,0,0,
353,1135,2669,0,0,
354,1136,2656,0,0,
355,1137,2656,0,0,
356,1139,2656,0,0,
357,1140,2656,0,0,
358,1141,2633,0,0,
359,1142,2633,0,0,
360,1143,2669,0,0,
361,1144,2669,0,0,
362,1145,2669,0,0,
363,1146,2669,0,0,
364,1147,2656,0,1,
365,1148,2633,0,0,
366,1149,2668,0,1,
367,1150,2656,0,0,
368,1151,2656,0,0,
370,1153,2656,0,0,
371,1154,2633,0,0,
372,1155,2633,0,0,
373,1156,2668,0,0,
374,1157,2668,0,0,
375,1158,2669,0,0,
376,1159,2669,1,0,"2019-09-05 14:41:55"
377,1160,2656,0,0,
378,1161,2633,0,0,
379,1162,2670,0,0,
380,1163,2670,0,0,
381,1165,2670,0,0,
382,1166,2670,0,0,
383,1167,2633,0,0,
384,1168,2633,0,0,
385,1169,2656,0,0,
386,1170,2657,1,0,"2019-09-05 14:24:26"
387,1182,78,1,0,"2019-09-12 13:57:56"
388,1185,2656,1,0,"2019-10-02 18:01:08"
389,1187,2656,1,0,"2019-10-03 10:18:20"
390,1188,2656,1,0,"2019-10-03 10:26:14"
391,1189,2656,1,0,"2019-10-03 10:28:58"
392,1190,2656,1,0,"2019-10-03 10:32:52"
393,1191,2656,1,0,"2019-10-03 10:43:21"
394,1192,2656,1,0,"2019-10-03 10:47:59"
395,1193,2656,1,0,"2019-10-03 10:49:00"
396,1194,2656,1,0,"2019-10-03 10:58:38"
397,1196,2633,1,0,"2019-12-18 14:17:47"
398,1205,2660,1,0,"2020-02-17 18:45:41"
399,1207,2660,1,0,"2020-04-14 10:26:15"
400,1209,2660,1,0,"2020-04-14 10:37:11"
401,1215,2660,1,0,"2020-06-12 14:40:39"
402,1217,2660,1,0,"2020-06-12 16:25:54"
403,1223,2369,1,0,"2020-06-18 10:37:42"
404,1225,2669,1,0,"2020-06-19 10:09:35"
405,1226,2669,1,0,"2020-06-19 10:25:01"
406,1229,2660,1,0,"2020-07-02 17:56:04"
407,1232,2660,1,0,"2020-07-02 18:34:05"
408,1234,2660,1,0,"2020-07-07 13:54:05"
409,1235,2660,1,0,"2020-07-07 14:09:45"
410,1241,2668,1,0,"2021-03-12 16:55:33"
411,1243,2633,1,0,"2021-03-30 10:40:16"
412,1244,2633,1,0,"2021-03-30 14:28:13"
413,1245,2633,1,0,"2021-03-30 18:28:59"
414,1248,2668,1,1,"2021-04-06 16:08:05"
415,1249,2669,1,0,"2021-04-27 14:05:17"
416,1253,2633,1,0,"2021-05-25 17:44:27"
417,1252,2633,1,0,"2021-05-25 17:49:39"
418,1254,2633,1,0,"2021-05-27 10:15:28"
419,1255,2633,1,0,"2021-05-27 10:16:56"
420,1256,2633,1,0,"2021-05-27 11:19:06"
421,1265,2671,1,0,"2021-05-28 16:36:56"
422,1276,2633,1,0,"2021-07-12 16:17:21"
423,1287,2673,1,0,"2021-08-27 13:22:07"
424,1288,2673,1,0,"2021-08-27 13:36:52"
425,1289,2673,1,0,"2021-08-27 15:36:59"
426,1291,2673,1,0,"2021-08-27 15:49:45"
427,1293,2673,1,0,"2021-08-27 15:58:30"
428,1294,2673,1,0,"2021-08-27 16:28:08"
429,1295,2673,1,0,"2021-08-27 16:32:11"
430,1325,2633,1,0,"2021-10-05 17:09:23"
431,1338,2633,1,0,"2021-11-02 13:52:30"
432,1341,2657,1,0,"2021-11-12 13:04:00"
433,1350,2657,1,0,"2021-11-29 19:04:07"
434,1351,2669,1,0,"2021-12-01 11:18:12"
435,1352,2669,1,0,"2021-12-01 11:27:07"
436,1362,2690,1,0,"2022-03-18 13:02:08"
437,1377,2657,1,0,"2023-03-31 23:35:42"
438,1378,2657,1,0,"2023-03-31 23:40:10"
439,1379,2657,1,0,"2023-04-01 00:03:45"
440,1382,2668,1,0,"2023-07-17 11:44:00"
441,1386,2693,1,0,"2023-10-03 11:21:20"
